City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,bull savanna,17.8868,-77.5902,26.66,77.0,95.0,4.24,JM,1726707118.0
95,al kharijah,25.4514,30.5464,25.63,32.0,0.0,3.83,EG,1726706991.0
96,fonadhoo,,,,,,,,
97,bredasdorp,-34.5322,20.0403,9.41,90.0,77.0,1.79,ZA,1726707119.0
98,naantali,60.4674,22.0243,9.23,100.0,100.0,1.54,FI,1726707119.0
99,lerwick,60.1545,-1.1494,12.3,88.0,100.0,5.06,GB,1726707119.0
100,ust-nera,64.5667,143.2,3.36,82.0,100.0,2.6,RU,1726707120.0
101,chegdomyn,51.1167,133.0167,7.47,54.0,100.0,1.75,RU,1726707120.0
102,kavaratti,10.5669,72.642,27.62,76.0,100.0,6.4,IN,1726707120.0
103,urangan,-25.3,152.9,20.46,73.0,82.0,6.63,AU,1726707120.0
104,pariaman,-0.619,100.12,25.03,78.0,78.0,0.97,ID,1726707120.0
105,vorgashor,67.5833,63.95,7.3,92.0,100.0,2.67,RU,1726707120.0
106,znamenskoye,57.1281,73.8282,6.35,85.0,52.0,2.44,RU,1726707120.0
107,livingston,55.9029,-3.5226,10.88,95.0,23.0,1.21,GB,1726706896.0
108,felipe carrillo puerto,19.5833,-88.05,25.45,97.0,73.0,1.37,MX,1726707121.0
109,port elizabeth,-33.918,25.5701,13.16,96.0,100.0,12.86,ZA,1726707121.0
110,akureyri,65.6835,-18.0878,3.96,87.0,100.0,2.06,IS,1726707121.0
111,aasiaat,68.7098,-52.8699,-4.62,87.0,15.0,3.62,GL,1726707121.0
112,georgetown,5.4112,100.3354,25.96,93.0,40.0,1.54,MY,1726707080.0
113,saint-joseph,-21.3667,55.6167,19.21,83.0,13.0,3.14,RE,1726707121.0
114,college,64.8569,-147.8028,9.99,85.0,100.0,4.12,US,1726707122.0
115,tsiombe,-25.3,45.4833,22.27,68.0,6.0,2.3,MG,1726707122.0
116,udachny,66.4167,112.4,-1.62,80.0,70.0,5.6,RU,1726707122.0
117,fale old settlement,-9.3852,-171.2468,27.85,67.0,0.0,0.93,TK,1726707122.0
118,ribeira grande,38.5167,-28.7,19.87,78.0,3.0,3.58,PT,1726707122.0
119,anadyr,64.75,177.4833,8.28,75.0,20.0,3.0,RU,1726707122.0
120,nizao,18.25,-70.2,27.44,80.0,0.0,3.81,DO,1726707122.0
121,punta arenas,-53.15,-70.9167,3.06,60.0,0.0,4.63,CL,1726707123.0
122,pacocha,-17.5833,-71.3333,15.18,90.0,20.0,1.93,PE,1726707123.0
123,coaraci,-14.6408,-39.5511,18.11,98.0,31.0,0.91,BR,1726707040.0
124,nazir town,33.3061,73.4833,23.48,57.0,1.0,1.17,PK,1726707123.0
125,tocopilla,-22.092,-70.1979,17.9,71.0,37.0,1.94,CL,1726707123.0
126,naze,28.3667,129.4833,26.51,90.0,100.0,9.99,JP,1726707124.0
127,nemuro,43.3236,145.575,18.67,73.0,19.0,9.07,JP,1726707124.0
128,fada,7.25,4.0667,22.23,100.0,100.0,1.14,NG,1726707125.0
129,mary,37.0,62.5,16.07,55.0,9.0,2.35,TM,1726707125.0
130,cristalina,-16.7686,-47.6136,23.81,43.0,41.0,3.64,BR,1726707125.0
131,green cove springs,29.9919,-81.6781,25.56,94.0,20.0,1.19,US,1726707125.0
132,bellampalli,19.0558,79.493,23.91,86.0,0.0,1.04,IN,1726707125.0
133,sola,-13.8833,167.55,27.37,69.0,75.0,2.06,VU,1726707126.0
134,bengkulu,-3.8004,102.2655,24.9,74.0,100.0,2.02,ID,1726707126.0
135,hawaiian paradise park,19.5933,-154.9731,28.74,70.0,20.0,4.12,US,1726707126.0
136,jiangyou,31.7667,104.7167,25.95,79.0,96.0,1.3,CN,1726707126.0
137,'ohonua,,,,,,,,
138,mocajuba,-2.5842,-49.5072,28.31,65.0,42.0,3.12,BR,1726707114.0
139,leku,6.8667,38.45,15.05,93.0,100.0,1.53,ET,1726707127.0
140,malakal,9.5334,31.6605,22.75,91.0,99.0,1.63,SS,1726707127.0
141,callao,-12.0667,-77.15,17.07,82.0,75.0,6.17,PE,1726707127.0
142,tura,25.5198,90.2201,25.97,90.0,9.0,1.1,IN,1726707127.0
143,hoxtolgay,,,,,,,,
144,tambacounda,13.7539,-13.7586,26.03,100.0,0.0,2.06,SN,1726707127.0
145,taiohae,,,,,,,,
146,margate,51.3813,1.3862,17.15,89.0,2.0,0.89,GB,1726707128.0
147,port lincoln,-34.7333,135.8667,14.02,61.0,12.0,8.05,AU,1726707128.0
148,katsuura,35.1333,140.3,28.98,78.0,53.0,2.6,JP,1726707128.0
149,aykhal,66.0,111.5,-2.7,84.0,77.0,4.01,RU,1726707128.0
150,witu,-2.3889,40.4382,22.77,84.0,6.0,3.05,KE,1726707128.0
151,saipan,15.1355,145.701,29.39,84.0,75.0,2.57,MP,1726706848.0
152,san borja,-14.8167,-66.85,27.64,40.0,13.0,1.79,BO,1726707129.0
153,kerikeri,-35.2268,173.9474,18.84,59.0,44.0,4.47,NZ,1726707129.0
154,weno,7.4515,151.8468,31.97,74.0,40.0,3.09,FM,1726707129.0
155,geraldton,-28.7667,114.6,15.23,77.0,0.0,4.12,AU,1726707129.0
156,antalaha,-14.9003,50.2788,20.97,75.0,71.0,2.31,MG,1726707129.0
157,nogliki,51.8333,143.1667,11.14,60.0,97.0,9.22,RU,1726707129.0
158,xichang,27.8964,102.2634,21.36,79.0,34.0,0.63,CN,1726706966.0
159,kuta,-8.7233,115.1723,26.97,83.0,20.0,2.57,ID,1726707129.0
